experiment,plate,well,sirna,y
HEPG2-01,1,B03,513,890
HEPG2-01,1,B04,840,890
HEPG2-01,1,B05,1020,890
HEPG2-01,1,B06,254,890
HEPG2-01,1,B07,144,890
HEPG2-01,1,B08,503,890
HEPG2-01,1,B09,188,890
HEPG2-01,1,B10,700,890
HEPG2-01,1,B11,1100,890
HEPG2-01,1,B12,611,700
HEPG2-01,1,B13,276,890
HEPG2-01,1,B14,397,890
HEPG2-01,1,B15,757,890
HEPG2-01,1,B16,828,890
HEPG2-01,1,B17,91,700
HEPG2-01,1,B18,567,890
HEPG2-01,1,B19,6,890
HEPG2-01,1,B20,460,700
HEPG2-01,1,B21,413,890
HEPG2-01,1,B22,555,890
HEPG2-01,1,B23,74,890
HEPG2-01,1,C02,950,890
HEPG2-01,1,C04,253,890
HEPG2-01,1,C05,272,890
HEPG2-01,1,C06,162,890
HEPG2-01,1,C08,177,890
HEPG2-01,1,C09,1023,890
HEPG2-01,1,C10,282,700
HEPG2-01,1,C12,762,613
HEPG2-01,1,C13,547,890
HEPG2-01,1,C14,750,700
HEPG2-01,1,C16,10,890
HEPG2-01,1,C17,212,890
HEPG2-01,1,C18,960,700
HEPG2-01,1,C20,870,890
HEPG2-01,1,C21,549,700
HEPG2-01,1,C23,655,700
HEPG2-01,1,D02,70,890
HEPG2-01,1,D03,350,890
HEPG2-01,1,D04,745,890
HEPG2-01,1,D05,1042,890
HEPG2-01,1,D06,436,700
HEPG2-01,1,D07,537,613
HEPG2-01,1,D08,124,700
HEPG2-01,1,D09,203,700
HEPG2-01,1,D10,708,613
HEPG2-01,1,D11,415,890
HEPG2-01,1,D12,653,890
HEPG2-01,1,D13,1056,700
HEPG2-01,1,D14,456,890
HEPG2-01,1,D15,217,700
HEPG2-01,1,D16,681,700
HEPG2-01,1,D17,113,890
HEPG2-01,1,D18,791,890
HEPG2-01,1,D19,538,700
HEPG2-01,1,D20,290,700
HEPG2-01,1,D21,576,890
HEPG2-01,1,D22,1031,890
HEPG2-01,1,D23,883,700
HEPG2-01,1,E02,400,890
HEPG2-01,1,E03,984,890
HEPG2-01,1,E04,80,890
HEPG2-01,1,E05,371,890
HEPG2-01,1,E06,987,890
HEPG2-01,1,E07,211,890
HEPG2-01,1,E08,157,890
HEPG2-01,1,E09,921,890
HEPG2-01,1,E10,478,890
HEPG2-01,1,E11,577,890
HEPG2-01,1,E12,345,890
HEPG2-01,1,E13,784,505
HEPG2-01,1,E14,894,890
HEPG2-01,1,E15,385,890
HEPG2-01,1,E16,1028,700
HEPG2-01,1,E17,8,700
HEPG2-01,1,E18,552,890
HEPG2-01,1,E19,695,700
HEPG2-01,1,E20,459,700
HEPG2-01,1,E21,581,700
HEPG2-01,1,E22,1060,700
HEPG2-01,1,E23,355,700
HEPG2-01,1,F02,900,700
HEPG2-01,1,F04,340,890
HEPG2-01,1,F05,486,890
HEPG2-01,1,F06,907,700
HEPG2-01,1,F08,391,700
HEPG2-01,1,F09,838,890
HEPG2-01,1,F10,523,700
HEPG2-01,1,F12,1084,890
HEPG2-01,1,F13,1089,890
HEPG2-01,1,F14,670,700
HEPG2-01,1,F16,450,890
HEPG2-01,1,F17,389,890
HEPG2-01,1,F18,379,276
HEPG2-01,1,F20,239,890
HEPG2-01,1,F21,604,890
HEPG2-01,1,F23,155,700
HEPG2-01,1,G02,5,890
HEPG2-01,1,G03,48,890
HEPG2-01,1,G04,1062,890
HEPG2-01,1,G05,884,890
HEPG2-01,1,G06,825,890
HEPG2-01,1,G07,798,890
HEPG2-01,1,G08,914,700
HEPG2-01,1,G09,1025,890
HEPG2-01,1,G10,624,700
HEPG2-01,1,G11,939,890
HEPG2-01,1,G12,938,613
HEPG2-01,1,G13,88,890
HEPG2-01,1,G14,1096,700
HEPG2-01,1,G15,46,890
HEPG2-01,1,G16,417,700
HEPG2-01,1,G17,910,890
HEPG2-01,1,G18,268,700
HEPG2-01,1,G19,744,700
HEPG2-01,1,G20,1006,276
HEPG2-01,1,G21,606,700
HEPG2-01,1,G22,172,890
HEPG2-01,1,G23,506,890
HEPG2-01,1,H02,760,890
HEPG2-01,1,H04,1013,890
HEPG2-01,1,H05,77,890
HEPG2-01,1,H06,1101,890
HEPG2-01,1,H08,56,890
HEPG2-01,1,H09,699,890
HEPG2-01,1,H10,1065,890
HEPG2-01,1,H12,847,890
HEPG2-01,1,H13,348,890
HEPG2-01,1,H14,1008,890
HEPG2-01,1,H16,845,890
HEPG2-01,1,H17,102,890
HEPG2-01,1,H18,3,890
HEPG2-01,1,H20,543,700
HEPG2-01,1,H21,734,890
HEPG2-01,1,H23,897,890
HEPG2-01,1,I02,626,890
HEPG2-01,1,I03,192,890
HEPG2-01,1,I04,112,890
HEPG2-01,1,I05,489,700
HEPG2-01,1,I06,1027,890
HEPG2-01,1,I07,195,557
HEPG2-01,1,I08,868,890
HEPG2-01,1,I09,59,890
HEPG2-01,1,I10,689,505
HEPG2-01,1,I11,126,890
HEPG2-01,1,I12,26,613
HEPG2-01,1,I13,1039,613
HEPG2-01,1,I14,295,890
HEPG2-01,1,I15,258,890
HEPG2-01,1,I16,301,890
HEPG2-01,1,I17,891,890
HEPG2-01,1,I18,372,890
HEPG2-01,1,I19,566,890
HEPG2-01,1,I20,764,700
HEPG2-01,1,I21,133,700
HEPG2-01,1,I22,890,890
HEPG2-01,1,I23,806,700
HEPG2-01,1,J02,309,890
HEPG2-01,1,J04,811,890
HEPG2-01,1,J05,1106,700
HEPG2-01,1,J06,105,890
HEPG2-01,1,J08,810,890
HEPG2-01,1,J09,532,890
HEPG2-01,1,J10,1076,890
HEPG2-01,1,J12,676,890
HEPG2-01,1,J13,889,890
HEPG2-01,1,J14,388,613
HEPG2-01,1,J16,94,890
HEPG2-01,1,J17,287,890
HEPG2-01,1,J18,605,505
HEPG2-01,1,J20,411,890
HEPG2-01,1,J21,431,700
HEPG2-01,1,J23,565,890
HEPG2-01,1,K02,881,890
HEPG2-01,1,K03,256,890
HEPG2-01,1,K04,281,890
HEPG2-01,1,K05,181,890
HEPG2-01,1,K06,582,613
HEPG2-01,1,K07,559,890
HEPG2-01,1,K08,853,890
HEPG2-01,1,K09,797,890
HEPG2-01,1,K10,1041,890
HEPG2-01,1,K11,224,613
HEPG2-01,1,K12,765,890
HEPG2-01,1,K13,481,700
HEPG2-01,1,K14,89,700
HEPG2-01,1,K15,366,890
HEPG2-01,1,K16,945,890
HEPG2-01,1,K17,242,505
HEPG2-01,1,K18,692,700
HEPG2-01,1,K19,399,700
HEPG2-01,1,K20,660,890
HEPG2-01,1,K21,541,890
HEPG2-01,1,K22,320,890
HEPG2-01,1,K23,398,276
HEPG2-01,1,L02,673,700
HEPG2-01,1,L03,508,890
HEPG2-01,1,L04,877,890
HEPG2-01,1,L05,222,890
HEPG2-01,1,L06,1067,890
HEPG2-01,1,L07,392,890
HEPG2-01,1,L08,312,890
HEPG2-01,1,L09,442,890
HEPG2-01,1,L10,556,700
HEPG2-01,1,L11,959,890
HEPG2-01,1,L12,775,890
HEPG2-01,1,L13,786,700
HEPG2-01,1,L14,274,890
HEPG2-01,1,L15,598,505
HEPG2-01,1,L16,1104,700
HEPG2-01,1,L17,557,890
HEPG2-01,1,L18,742,700
HEPG2-01,1,L19,703,890
HEPG2-01,1,L20,1015,890
HEPG2-01,1,L21,360,700
HEPG2-01,1,L22,40,700
HEPG2-01,1,L23,339,700
HEPG2-01,1,M02,238,890
HEPG2-01,1,M04,687,890
HEPG2-01,1,M05,1102,505
HEPG2-01,1,M06,346,890
HEPG2-01,1,M08,147,613
HEPG2-01,1,M09,613,613
HEPG2-01,1,M10,277,613
HEPG2-01,1,M12,704,700
HEPG2-01,1,M13,497,890
HEPG2-01,1,M14,1,276
HEPG2-01,1,M16,33,890
HEPG2-01,1,M17,352,700
HEPG2-01,1,M18,972,890
HEPG2-01,1,M20,647,700
HEPG2-01,1,M21,715,700
HEPG2-01,1,M23,974,700
HEPG2-01,1,N02,221,890
HEPG2-01,1,N03,482,890
HEPG2-01,1,N04,793,890
HEPG2-01,1,N05,705,700
HEPG2-01,1,N06,572,890
HEPG2-01,1,N07,296,890
HEPG2-01,1,N08,109,890
HEPG2-01,1,N09,981,890
HEPG2-01,1,N10,500,890
HEPG2-01,1,N11,982,700
HEPG2-01,1,N12,962,613
HEPG2-01,1,N13,986,890
HEPG2-01,1,N14,471,890
HEPG2-01,1,N15,514,890
HEPG2-01,1,N16,439,890
HEPG2-01,1,N17,293,890
HEPG2-01,1,N18,158,890
HEPG2-01,1,N19,983,890
HEPG2-01,1,N20,831,700
HEPG2-01,1,N21,875,700
HEPG2-01,1,N22,302,700
HEPG2-01,1,N23,618,700
HEPG2-01,1,O02,620,890
HEPG2-01,1,O03,657,890
HEPG2-01,1,O04,505,890
HEPG2-01,1,O05,1066,890
HEPG2-01,1,O06,136,613
HEPG2-01,1,O07,395,557
HEPG2-01,1,O08,341,276
HEPG2-01,1,O09,313,890
HEPG2-01,1,O10,585,890
HEPG2-01,1,O11,588,890
HEPG2-01,1,O12,55,890
HEPG2-01,1,O13,361,890
HEPG2-01,1,O14,373,890
HEPG2-01,1,O15,445,276
HEPG2-01,1,O16,324,890
HEPG2-01,1,O17,308,700
HEPG2-01,1,O19,743,890
HEPG2-01,1,O20,622,700
HEPG2-01,1,O21,266,700
HEPG2-01,1,O22,770,700
HEPG2-01,1,O23,607,700
